Timestamp | Device_ID | Temperature (Celsius) | Status
2026-09-22 03:59:20 | WARD_B_TEMP_01 | 37.2 | NORMAL
2026-09-22 03:59:20 | WARD_B_TEMP_02 | 39.3 | CRITICAL
2026-09-22 03:59:20 | WARD_B_TEMP_03 | 39.1 | CRITICAL
2026-09-22 03:59:20 | WARD_B_TEMP_04 | 35.1 | CRITICAL
2026-09-22 03:59:20 | WARD_B_TEMP_05 | 37.9 | WARNING
2026-09-22 03:59:21 | WARD_B_TEMP_01 | 38.6 | CRITICAL
2026-09-22 03:59:21 | WARD_B_TEMP_02 | 36.7 | NORMAL
2026-09-22 03:59:21 | WARD_B_TEMP_03 | 37.1 | NORMAL
2026-09-22 03:59:21 | WARD_B_TEMP_04 | 35.1 | CRITICAL
2026-09-22 03:59:21 | WARD_B_TEMP_05 | 40.3 | CRITICAL
2026-09-22 03:59:22 | WARD_B_TEMP_01 | 34.9 | CRITICAL
2026-09-22 03:59:22 | WARD_B_TEMP_02 | 37.7 | WARNING
2026-09-22 03:59:22 | WARD_B_TEMP_03 | 39.2 | CRITICAL
2026-09-22 03:59:22 | WARD_B_TEMP_04 | 35.8 | NORMAL
2026-09-22 03:59:22 | WARD_B_TEMP_05 | 36.6 | NORMAL
2026-09-22 03:59:23 | WARD_B_TEMP_01 | 39.4 | CRITICAL
2026-09-22 03:59:23 | WARD_B_TEMP_02 | 35.7 | NORMAL
2026-09-22 03:59:23 | WARD_B_TEMP_03 | 35.6 | NORMAL
2026-09-22 03:59:23 | WARD_B_TEMP_04 | 40.2 | CRITICAL
2026-09-22 03:59:23 | WARD_B_TEMP_05 | 34.8 | CRITICAL
2026-09-22 03:59:24 | WARD_B_TEMP_01 | 39.7 | CRITICAL
2026-09-22 03:59:24 | WARD_B_TEMP_02 | 35.8 | NORMAL
2026-09-22 03:59:24 | WARD_B_TEMP_03 | 38.7 | CRITICAL
2026-09-22 03:59:24 | WARD_B_TEMP_04 | 39.7 | CRITICAL
2026-09-22 03:59:24 | WARD_B_TEMP_05 | 40.2 | CRITICAL
2026-09-22 03:59:25 | WARD_B_TEMP_01 | 34.7 | CRITICAL
2026-09-22 03:59:25 | WARD_B_TEMP_02 | 39.7 | CRITICAL
2026-09-22 03:59:25 | WARD_B_TEMP_03 | 39.2 | CRITICAL
2026-09-22 03:59:25 | WARD_B_TEMP_04 | 35.3 | CRITICAL
2026-09-22 03:59:25 | WARD_B_TEMP_05 | 36.5 | NORMAL
2026-09-22 03:59:26 | WARD_B_TEMP_01 | 38.9 | CRITICAL
2026-09-22 03:59:26 | WARD_B_TEMP_02 | 38.8 | CRITICAL
2026-09-22 03:59:26 | WARD_B_TEMP_03 | 40.5 | CRITICAL
2026-09-22 03:59:26 | WARD_B_TEMP_04 | 37.6 | WARNING
2026-09-22 03:59:26 | WARD_B_TEMP_05 | 39.0 | CRITICAL
2026-09-22 03:59:27 | WARD_B_TEMP_01 | 35.1 | CRITICAL
2026-09-22 03:59:27 | WARD_B_TEMP_02 | 37.5 | WARNING
2026-09-22 03:59:27 | WARD_B_TEMP_03 | 35.7 | NORMAL
2026-09-22 03:59:27 | WARD_B_TEMP_04 | 37.8 | WARNING
2026-09-22 03:59:27 | WARD_B_TEMP_05 | 34.6 | CRITICAL
2026-09-22 03:59:28 | WARD_B_TEMP_01 | 40.0 | CRITICAL
2026-09-22 03:59:28 | WARD_B_TEMP_02 | 38.1 | CRITICAL
2026-09-22 03:59:28 | WARD_B_TEMP_03 | 38.4 | CRITICAL
2026-09-22 03:59:28 | WARD_B_TEMP_04 | 38.1 | CRITICAL
2026-09-22 03:59:28 | WARD_B_TEMP_05 | 35.4 | CRITICAL
2026-09-22 03:59:29 | WARD_B_TEMP_01 | 34.5 | CRITICAL
2026-09-22 03:59:29 | WARD_B_TEMP_02 | 38.5 | CRITICAL
2026-09-22 03:59:29 | WARD_B_TEMP_03 | 40.2 | CRITICAL
2026-09-22 03:59:29 | WARD_B_TEMP_04 | 40.2 | CRITICAL
2026-09-22 03:59:29 | WARD_B_TEMP_05 | 40.1 | CRITICAL
2026-09-22 03:59:30 | WARD_B_TEMP_01 | 39.7 | CRITICAL
2026-09-22 03:59:30 | WARD_B_TEMP_02 | 36.6 | NORMAL
2026-09-22 03:59:30 | WARD_B_TEMP_03 | 38.8 | CRITICAL
2026-09-22 03:59:30 | WARD_B_TEMP_04 | 37.9 | WARNING
2026-09-22 03:59:30 | WARD_B_TEMP_05 | 39.5 | CRITICAL
2026-09-22 03:59:31 | WARD_B_TEMP_01 | 40.1 | CRITICAL
2026-09-22 03:59:31 | WARD_B_TEMP_02 | 38.3 | CRITICAL
2026-09-22 03:59:31 | WARD_B_TEMP_03 | 37.0 | NORMAL
2026-09-22 03:59:31 | WARD_B_TEMP_04 | 38.0 | WARNING
2026-09-22 03:59:31 | WARD_B_TEMP_05 | 35.2 | CRITICAL
2026-09-22 03:59:32 | WARD_B_TEMP_01 | 35.8 | NORMAL
2026-09-22 03:59:32 | WARD_B_TEMP_02 | 37.1 | NORMAL
2026-09-22 03:59:32 | WARD_B_TEMP_03 | 37.7 | WARNING
2026-09-22 03:59:32 | WARD_B_TEMP_04 | 35.3 | CRITICAL
